aten_name,diopi_fun,args,count
add_.Scalar,diopiAddInpScalar,"['self:[numel: 1, sizes: [], stride: [], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[0.545359] ', 'alpha:[1] ']",5
add_.Scalar,diopiAddInpScalar,"['self:[numel: 1, sizes: [], stride: [], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[0.488464] ', 'alpha:[1] ']",5
add_.Scalar,diopiAddInpScalar,"['self:[numel: 1, sizes: [], stride: [], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[0.660112] ', 'alpha:[1] ']",5
add_.Scalar,diopiAddInpScalar,"['self:[numel: 1, sizes: [], stride: [], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[0.581766] ', 'alpha:[1] ']",5
cat.out,diopiCat,"['tensors:[numel: 360448, sizes: [1, 64, 88, 64], stride: [360448, 64, 4096, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 360448, sizes: [1, 64, 88, 64], stride: [720896, 128, 8192, 1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, ] ', 'dim:[3] ', 'out:[numel: 720896, sizes: [1, 64, 88, 128], stride: [720896, 11264, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",3993
cat.out,diopiCat,"['tensors:[numel: 1048576, sizes: [1048576], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 1048576, sizes: [1048576], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8388608, sizes: [8388608], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, ] ', 'dim:[0] ', 'out:[numel: 10485760, sizes: [10485760], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",3993
cat.out,diopiCat,"['tensors:[numel: 69632, sizes: [1, 8, 136, 64], stride: [69632, 64, 512, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 69632, sizes: [1, 8, 136, 64], stride: [139264, 128, 1024, 1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, ] ', 'dim:[3] ', 'out:[numel: 139264, sizes: [1, 8, 136, 128], stride: [139264, 17408, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",3993
cat.out,diopiCat,"['tensors:[numel: 29360128, sizes: [29360128], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 1024, sizes: [1024], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, ] ', 'dim:[0] ', 'out:[numel: 29361152, sizes: [29361152], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",3993
cat.out,diopiCat,"['tensors:[numel: 8192, sizes: [8192], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8192, sizes: [8192], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8192, sizes: [8192], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8192, sizes: [8192], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8192, sizes: [8192], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8192, sizes: [8192], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8192, sizes: [8192], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8192, sizes: [8192], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, ] ', 'dim:[0] ', 'out:[numel: 65536, sizes: [65536], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",3993
cat.out,diopiCat,"['tensors:[numel: 1048576, sizes: [1048576], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 1048576, sizes: [1048576], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8388608, sizes: [8388608], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8192, sizes: [8192], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 8192, sizes: [8192], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, numel: 1024, sizes: [1024], stride: [1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous, ] ', 'dim:[0] ', 'out:[numel: 10503168, sizes: [10503168], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",3993
